,id_mission,id_report,id_labdoc,id_trace,n_users,teacher,n_tokens,n_segments,eqc,coec,eqc_low,eqc_mid,eqc_high,eqc_membership,eqc_degree,coec_low,coec_mid,coec_high,coec_membership,coec_degree
40181,521,46476,471112,8194597,2,0,47,1,0.12,0.12,0.74,0.26,0.0,eqc_low,0.74,0.74,0.26,0.0,coec_low,0.74
40182,521,45044,473310,8275625,3,0,62,4,0.03,0.03,0.93,0.07,0.0,eqc_low,0.93,0.93,0.07,0.0,coec_low,0.93
40183,521,45044,473488,8276878,2,0,111,5,0.66,0.0,0.0,0.66,0.34,eqc_mid,0.66,1.0,0.0,0.0,coec_low,1.0
40184,521,45044,473450,8276794,2,0,339,11,0.88,0.01,0.0,0.32,0.68,eqc_high,0.68,0.98,0.02,0.0,coec_low,0.98
40185,521,45044,473451,8275692,2,0,358,16,0.34,0.0,0.24,0.76,0.0,eqc_mid,0.76,1.0,0.0,0.0,coec_low,1.0
40186,521,41380,383849,6827401,2,0,59,4,0.88,0.0,0.0,0.32,0.68,eqc_high,0.68,1.0,0.0,0.0,coec_low,1.0
40187,521,44999,446048,7612546,2,0,963,40,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40188,521,46296,457435,7846880,3,0,33,4,0.07,0.07,0.85,0.15,0.0,eqc_low,0.85,0.85,0.15,0.0,coec_low,0.85
40189,521,46296,457424,7846740,3,0,228,15,0.1,0.09,0.78,0.22,0.0,eqc_low,0.78,0.8,0.2,0.0,coec_low,0.8
40190,521,46296,453184,7841760,2,0,24,2,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
40191,521,46296,457521,7848005,2,0,162,11,0.76,0.31,0.0,0.5,0.5,eqc_mid,0.5,0.31,0.69,0.0,coec_mid,0.69
40192,521,46296,457488,7846964,2,0,43,6,0.66,0.04,0.0,0.66,0.34,eqc_mid,0.66,0.91,0.09,0.0,coec_low,0.91
40193,521,46296,457523,7848557,2,0,71,3,0.5,0.5,0.0,0.92,0.08,eqc_mid,0.92,0.0,0.92,0.08,coec_mid,0.92
40194,521,42277,418267,7009448,2,0,97,2,0.0,0.0,1.0,0.0,0.0,eqc_low,1.0,1.0,0.0,0.0,coec_low,1.0
